CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;labo;labo;labo;labo;labo
Fichier;Station;Latitude;Longitude;Echantillon;zbouteille;Date;Heure;PSAL_BS;OXYM_01;Si_01;PO4_01;NOx_01
(nom);(nom/no);(degres);(degres);(no_unique);(dbar);(jj-mmm-yyyy);(GMT);(PSU);(mmol/m**3);(mmol/m**3);(mmol/m**3);(mmol/m**3)
18HU76020_295;51;43.005;-63;-202;50;07-jul-76;21:14:00;32.66;5.9;6.45;1;6.56
18HU76020_295;51;43.005;-63;-203;75;07-jul-76;21:14:00;32.2;4.8;8.75;0.84;7.09
18HU76020_295;51;43.005;-63;-204;100;07-jul-76;21:14:00;34.65;4.3;8.21;0.99;9.6
18HU76020_295;51;43.005;-63;-205;125;07-jul-76;21:14:00;NaN;NaN;11.71;1.14;11.09
18HU76020_296;52;42.9167;-63;-206;10;07-jul-76;22:11:00;31.42;5.6;0.1;0.38;1.95
18HU76020_296;52;42.9167;-63;-207;30;07-jul-76;22:11:00;32.59;6.2;0.13;0.4;2.59
18HU76020_296;52;42.9167;-63;-208;40;07-jul-76;22:11:00;33.29;6.1;3.4;0.65;5.11
18HU76020_296;52;42.9167;-63;-209;50;07-jul-76;22:11:00;34.05;5.1;6.24;0.65;5.83
18HU76020_296;52;42.9167;-63;-210;75;07-jul-76;22:11:00;34.46;4.6;9.54;0.86;7.88
18HU76020_296;52;42.9167;-63;-211;100;07-jul-76;22:11:00;34.95;4.2;10.95;1.04;9.74
18HU76020_296;52;42.9167;-63;-212;125;07-jul-76;22:11:00;35.03;3.8;9.74;1.15;11.39
18HU76020_297;53;42.8367;-63.0033;-213;10;07-jul-76;23:07:00;31.72;5.2;0.16;0.42;2.05
18HU76020_297;53;42.8367;-63.0033;-214;30;07-jul-76;23:07:00;32.72;6;0.1;0.35;2.44
18HU76020_297;53;42.8367;-63.0033;-215;40;07-jul-76;23:07:00;33.45;5.8;0.72;0.33;3.15
18HU76020_297;53;42.8367;-63.0033;-216;50;07-jul-76;23:07:00;33.62;5.5;4.87;0.64;3.99
18HU76020_297;53;42.8367;-63.0033;-217;75;07-jul-76;23:07:00;34.16;4.9;7.68;0.73;6.96
18HU76020_297;53;42.8367;-63.0033;-218;100;07-jul-76;23:07:00;34.91;4;9.93;1.07;9.98
18HU76020_297;53;42.8367;-63.0033;-219;125;07-jul-76;23:07:00;35.23;3.5;14.1;1.26;12.95
18HU76020_298;54;42.7467;-62.985;-220;10;08-jul-76;00:32:00;31.72;5.2;0.19;0.25;1.83
18HU76020_298;54;42.7467;-62.985;-221;30;08-jul-76;00:32:00;32.76;5.5;0.45;0.31;2.29
18HU76020_298;54;42.7467;-62.985;-222;40;08-jul-76;00:32:00;33.43;5.6;0.21;0.24;2.62
18HU76020_298;54;42.7467;-62.985;-223;50;08-jul-76;00:32:00;33.38;5.7;0.32;0.36;3.32
18HU76020_298;54;42.7467;-62.985;-224;75;08-jul-76;00:32:00;34.04;4.6;4.71;0.6;5.33
18HU76020_298;54;42.7467;-62.985;-225;100;08-jul-76;00:32:00;34.69;4.2;6.93;0.9;8.96
18HU76020_298;54;42.7467;-62.985;-226;125;08-jul-76;00:32:00;35.08;3.7;10.35;NaN;9.33
18HU76020_298;54;42.7467;-62.985;-227;150;08-jul-76;00:32:00;35.13;3.5;10.21;1.13;10.81
18HU76020_299;55;42.6717;-63.0033;-228;10;08-jul-76;01:34:00;32.23;5.1;0.28;0.19;2.19
18HU76020_299;55;42.6717;-63.0033;-229;30;08-jul-76;01:34:00;33.07;5.5;0.12;0.16;2.64
18HU76020_299;55;42.6717;-63.0033;-230;40;08-jul-76;01:34:00;33.51;5.7;1.68;0.55;4.21
18HU76020_299;55;42.6717;-63.0033;-231;50;08-jul-76;01:34:00;33.43;5.7;6.54;0.73;6.18
18HU76020_299;55;42.6717;-63.0033;-232;75;08-jul-76;01:34:00;33.85;5.1;10.76;0.9;8.29
18HU76020_299;55;42.6717;-63.0033;-233;100;08-jul-76;01:34:00;34.34;4.6;10.3;0.98;10.87
18HU76020_299;55;42.6717;-63.0033;-234;125;08-jul-76;01:34:00;34.73;4.2;17.42;1.35;12.57
