CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;labo;labo;labo;labo;labo;labo
Fichier;Station;Latitude;Longitude;Echantillon;zbouteille;Date;Heure;PSAL;TEMP_XX;OXYM_01;Si_01;NO2_01;PO4_01;NOx_01;CHL_XX
(nom);(nom/no);(degres);(degres);(no_unique);(dbar);(jj-mmm-yyyy);(GMT);(psu);(celsius);(mmol/m**3);(mmol/m**3);(mmol/m**3);(mmol/m**3);(mmol/m**3);(mg/m**3)
18NA96022_285;CAST#1;45.9215;-60.8268;175820;1;25-sep-96;20:40:00;21.788;13.901;6.195;3.435;0.0645;0.1935;0.26;1.3617
18NA96022_295;CAST#1;45.915;-60.7572;175821;68;27-sep-96;11:32:00;22.329;4.077;6.011;10.39;0.075;0.646;4.115;NaN
18NA96022_295;CAST#1;45.915;-60.7572;175822;40;27-sep-96;11:32:00;22.386;5.34;6.184;7.475;0.1415;0.544;3.43;NaN
18NA96022_295;CAST#1;45.915;-60.7572;175823;5;27-sep-96;11:32:00;21.803;13.963;6.161;3.24;0.0995;0.164;0.31;0.9612
18NA96022_295;CAST#1;45.915;-60.7572;175824;1;27-sep-96;11:32:00;20.351;13.824;5.779;2.995;0.2425;0.167;0.35;0.801
18NA96022_297;CAST#1;45.8777;-60.6755;175825;25;27-sep-96;12:19:00;22.218;9.211;5.955;5.885;0.166;0.3965;2.33;0
18NA96022_297;CAST#1;45.8777;-60.6755;175826;5;27-sep-96;12:19:00;21.652;13.192;6.277;4.115;0.105;0.1985;0.34;0.2403
18NA96022_297;CAST#1;45.8777;-60.6755;175827;1;27-sep-96;12:19:00;21.63;13.173;6.289;4.155;0.1585;0.2005;0.34;0.4005
18NA96022_299;CAST#1;45.9012;-60.6115;175828;17;27-sep-96;12:59:00;21.995;11.544;NaN;4.935;0.1735;0.293;1.23;0.1602
18NA96022_299;CAST#1;45.9012;-60.6115;175829;5;27-sep-96;12:59:00;21.378;13.127;6.31;4.745;0.0955;0.1945;0.275;0.3204
18NA96022_299;CAST#1;45.9012;-60.6115;175830;1;27-sep-96;12:59:00;21.38;13.124;6.338;4.79;0.0935;0.2165;0.27;0.2403
18NA96022_300;CAST#1;46.007;-60.4083;175831;8;27-sep-96;14:14:00;21.316;12.292;6.055;6.155;0.274;0.297;1;0.4005
18NA96022_300;CAST#1;46.007;-60.4083;175832;1;27-sep-96;14:14:00;19.915;11.753;6.388;10.64;0.1975;0.248;1.025;0.1602
18NA96022_301;CAST#1;45.967;-60.4787;175833;75;27-sep-96;14:44:00;22.168;6.112;5.636;10.71;0.1235;0.766;4.54;NaN
18NA96022_301;CAST#1;45.967;-60.4787;175834;25;27-sep-96;14:44:00;22.013;9.938;5.76;6.995;0.196;0.4335;2.48;0.2403
18NA96022_301;CAST#1;45.967;-60.4787;175835;5;27-sep-96;14:44:00;21.299;12.984;6.232;5.605;0.1215;0.2265;0.405;0.6408
18NA96022_301;CAST#1;45.967;-60.4787;175836;1;27-sep-96;14:44:00;21.269;13.138;6.244;5.545;0.1295;0.2375;0.43;0.8811
18NA96022_302;CAST#1;45.9408;-60.528;175837;34;27-sep-96;15:38:00;22.023;9.691;5.713;7.75;0.2155;0.524;2.705;0.4005
18NA96022_302;CAST#1;45.9408;-60.528;175838;5;27-sep-96;15:38:00;21.041;13.062;6.357;5.91;0.0995;0.2125;0.25;0.4806
