CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;labo;labo;terrain;labo;labo;labo;labo
Fichier;Station;Latitude;Longitude;Echantillon;zbouteille;Date;Heure;PRES;PSAL_BS;OXYM_01;TEMP_XX;Si_01;PO4_01;NOx_01;CHL_XX
(nom);(nom/no);(degres);(degres);(no_unique);(dbar);(jj-mmm-yyyy);(GMT);(dbar);(PSU);(mmol/m**3);(celsius);(mmol/m**3);(mmol/m**3);(mmol/m**3);(mg/m**3)
18HU02070_298;FC-01;47;-52.8317;255866;40;17-nov-02;02:22:00;40.28;31.726;310.7862;3.707;2.36;0.82;1.61;0.27
18HU02070_298;FC-01;47;-52.8317;255867;30;17-nov-02;02:22:00;30.12;31.624;308.7318;4.225;2.1;0.7;1.25;0.33
18HU02070_298;FC-01;47;-52.8317;255868;20;17-nov-02;02:22:00;20.3;31.579;308.1959;4.447;2.21;1.12;1.37;0.42
18HU02070_298;FC-01;47;-52.8317;255869;10;17-nov-02;02:22:00;10.32;31.574;308.2405;4.443;2.23;0.98;1.43;0.43
18HU02070_298;FC-01;47;-52.8317;255870;5;17-nov-02;02:22:00;5.09;31.575;308.2852;4.439;2.27;0.93;1.37;0.43
18HU02070_299;STN27;47.5467;-52.5867;255871;173;17-nov-02;07:06:00;174.39;33.341;285.9554;-0.722;14.86;2.15;12.37;NaN
18HU02070_299;STN27;47.5467;-52.5867;255872;150;17-nov-02;07:06:00;151.1;33.039;302.7921;-1.001;11.03;2.1;10.21;NaN
18HU02070_299;STN27;47.5467;-52.5867;255873;100;17-nov-02;07:06:00;100.42;32.65;315.0735;0.038;6.18;1.95;6.78;0.02
18HU02070_299;STN27;47.5467;-52.5867;255874;75;17-nov-02;07:06:00;75.41;32.402;317.4404;1.737;3.99;1.13;3.82;0.18
18HU02070_299;STN27;47.5467;-52.5867;255875;50;17-nov-02;07:06:00;50.03;31.562;306.8561;4.326;2.43;0.82;1.45;0.31
18HU02070_299;STN27;47.5467;-52.5867;255876;40;17-nov-02;07:06:00;39.86;31.556;306.8114;4.294;2.46;0.76;1.68;0.29
18HU02070_299;STN27;47.5467;-52.5867;255877;29;17-nov-02;07:06:00;29.74;31.556;306.8114;4.309;1.7;0.63;1.16;0.3
18HU02070_299;STN27;47.5467;-52.5867;255878;19;17-nov-02;07:06:00;19.64;31.553;306.7668;4.276;2.58;1.1;1.48;0.26
18HU02070_299;STN27;47.5467;-52.5867;255879;10;17-nov-02;07:06:00;10.51;31.553;306.9454;4.281;1.54;0.68;1.05;0.28
18HU02070_299;STN27;47.5467;-52.5867;255880;5;17-nov-02;07:06:00;5.37;31.553;306.8114;4.278;1.76;0.95;1.37;0.28
18HU02070_304;SEGB-05;46.07;-52.5;255607;83;10-nov-02;23:49:00;83.66;33.021;267.9129;0.244;13.76;1.91;9.61;0.04
